month,pair,rate_mean,rate_eom,rate_vol,rate_mom,rate_yoy,corridor
2014-12,CNY/SGD,0.21308785612307954,0.21308785612307954,,,,CN->SG
2015-01,CNY/SGD,0.2151102929125967,0.21648301690732363,0.06211899308768602,0.009491093609525159,,CN->SG
2015-02,CNY/SGD,0.21676599289963736,0.21691032926987983,0.052717438833055914,0.007696981695401339,,CN->SG
2015-03,CNY/SGD,0.2205702649065753,0.22146432209771008,0.0734941772212979,0.017550133007714575,,CN->SG
2015-04,CNY/SGD,0.21747276963558618,0.21295625878444566,0.07223197323826672,-0.014043122595428281,,CN->SG
2015-05,CNY/SGD,0.21518242912981203,0.2176515398846447,0.07603193573834177,-0.010531619703984196,,CN->SG
2015-06,CNY/SGD,0.21687483212284134,0.21722602367763658,0.06527379655658251,0.007864968342783829,,CN->SG
2015-07,CNY/SGD,0.21930966275643965,0.22146432209771008,0.051532620080574826,0.011226893456310227,,CN->SG
2015-08,CNY/SGD,0.22053949992081612,0.2213221786955271,0.08500955839944986,0.0056077655171185015,,CN->SG
2015-09,CNY/SGD,0.2222038780118791,0.22358859698155392,0.06940236070922114,0.007546848032486508,,CN->SG
2015-10,CNY/SGD,0.22049998270648227,0.22158209616662974,0.09017729590413746,-0.007668161872970258,,CN->SG
2015-11,CNY/SGD,0.22194971616577935,0.2207164455823603,0.05294095824325164,0.00657475543309638,,CN->SG
2015-12,CNY/SGD,0.21828328967560937,0.21834537872005938,0.053167678369189744,-0.016519176295911375,0.02438165011866733,CN->SG
2016-01,CNY/SGD,0.21795742950038424,0.21654395842355997,0.04430816334349263,-0.0014928315204951748,0.013235705968493106,CN->SG
2016-02,CNY/SGD,0.21466596223558418,0.21478124530166026,0.09999956644955538,-0.015101422660126707,-0.009688007957159073,CN->SG
2016-03,CNY/SGD,0.21114076383809405,0.20817720043300855,0.06838332763171037,-0.016421785553600854,-0.04275055421670371,CN->SG
2016-04,CNY/SGD,0.20838413307552645,0.20706505984180232,0.057186213029350536,-0.013055890830637629,-0.041792067003557865,CN->SG
2016-05,CNY/SGD,0.20976668452134914,0.20946356381307474,0.03474583531774043,0.006634629160184646,-0.02516815443697662,CN->SG
2016-06,CNY/SGD,0.20541058510180993,0.20279450832471457,0.047714301358512935,-0.02076640258427631,-0.052861122283372586,CN->SG
2016-07,CNY/SGD,0.20225690563729057,0.20315706072364545,0.044394438150332075,-0.015353052341271822,-0.07775652428998303,CN->SG
2016-08,CNY/SGD,0.20266159251198623,0.20429009193054137,0.042092698303311596,0.0020008556613706485,-0.08106442344908227,CN->SG
2016-09,CNY/SGD,0.20369983350190726,0.2045993943857926,0.03958707802874165,0.005123027886300813,-0.08327507456455197,CN->SG
2016-10,CNY/SGD,0.20561905875053282,0.2056597564988483,0.035852645208565674,0.00942183022750287,-0.06748718876662285,CN->SG
2016-11,CNY/SGD,0.20617232778627523,0.2073484282989135,0.04063798406717599,0.0026907478280679964,-0.07108541813912317,CN->SG
2016-12,CNY/SGD,0.20740851897466941,0.20810788312661282,0.0425307665259354,0.005995912262656722,-0.04981952909497078,CN->SG
2017-01,CNY/SGD,0.20733940701800027,0.2055033805306097,0.05879295946066469,-0.00033321657669027616,-0.04871603829575011,CN->SG
2017-02,CNY/SGD,0.20582611784722454,0.2037780449534367,0.04168174863740618,-0.007298608559463848,-0.04117953445576239,CN->SG
2017-03,CNY/SGD,0.2037328907152333,0.20287267710784712,0.03993320620330535,-0.010169881033003647,-0.035084997270073526,CN->SG
2017-04,CNY/SGD,0.20294316977850257,0.20244964065188786,0.024767168359088414,-0.0038762564746334105,-0.02611025713292603,CN->SG
2017-05,CNY/SGD,0.20260137605785092,0.20298386278290875,0.03712025598749694,-0.001684184400118971,-0.03415846744132989,CN->SG
2017-06,CNY/SGD,0.20325927860596663,0.2030127085955581,0.023881955662317177,0.0032472758128150314,-0.010473201732895232,CN->SG
2017-07,CNY/SGD,0.20253434570993015,0.20175934145750946,0.028560264968162444,-0.0035665426986082327,0.001371721137359394,CN->SG
2017-08,CNY/SGD,0.2040383681474843,0.20617706486330462,0.035671773538317325,0.007426011782259545,0.006793470920823941,CN->SG
2017-09,CNY/SGD,0.20553089304998293,0.20412745718426584,0.04494263473003558,0.007314922757173825,0.008989008565186252,CN->SG
2017-10,CNY/SGD,0.20530900619723355,0.2055033805306097,0.03022738965127694,-0.0010795790815515405,-0.0015078979311711205,CN->SG
2017-11,CNY/SGD,0.20472023050248433,0.20396092108751965,0.024392687017829335,-0.002867753858706079,-0.007043124067048323,CN->SG
2017-12,CNY/SGD,0.20414172108020393,0.20532194480946123,0.02338490280067056,-0.0028258537070834366,-0.01575054829288114,CN->SG
2018-01,CNY/SGD,0.2056447393550478,0.20791317545792876,0.02702344187634602,0.007362621745769182,-0.0081733988117626,CN->SG
2018-02,CNY/SGD,0.20872791559948817,0.20912189715385096,0.055519592979210296,0.014992730930584397,0.014098297060713527,CN->SG
2018-03,CNY/SGD,0.20802587802704706,0.2085766727849157,0.03196131921515263,-0.0033634100662807143,0.021071645804183303,CN->SG
2018-04,CNY/SGD,0.20887300997693256,0.20915688858212544,0.03583100936752746,0.004072243116673091,0.029219215433079038,CN->SG
2018-05,CNY/SGD,0.21010847659765092,0.20888164765843673,0.03344707341671715,0.005914917493910821,0.03705355158918766,CN->SG
2018-06,CNY/SGD,0.2084158699208197,0.2059859517580901,0.03279112882307311,-0.008055870492424178,0.025369524826709178,CN->SG
2018-07,CNY/SGD,0.20295493100521228,0.19925478709626,0.040258808273381484,-0.026202126151343985,0.0020766122101802953,CN->SG
2018-08,CNY/SGD,0.19985527600111927,0.20040481773181829,0.030038649250708874,-0.015272627221919577,-0.020501497754291886,CN->SG
2018-09,CNY/SGD,0.20000405646899586,0.19882692116512576,0.0286276704788765,0.0007444410317982708,-0.02689053941707442,CN->SG
2018-10,CNY/SGD,0.19933594073019617,0.19884668920262477,0.03488159571733026,-0.0033405109406031697,-0.029093051384697977,CN->SG
2018-11,CNY/SGD,0.19813620050126907,0.19748405316270712,0.02805439847317906,-0.006018684962341925,-0.032161110726843245,CN->SG
2018-12,CNY/SGD,0.1989275259505472,0.19797667834729069,0.0512044669821998,0.003993845886194114,-0.025542035709634092,CN->SG
2019-01,CNY/SGD,0.19981865990833517,0.2007387184840212,0.030038608226354218,0.004479691553644027,-0.028330797398390173,CN->SG
2019-02,CNY/SGD,0.20088932808796933,0.2016820281144747,0.02574359816491974,0.005358199179823053,-0.03755409279590416,CN->SG
2019-03,CNY/SGD,0.20175225824885712,0.20178376851366076,0.02003989858589791,0.004295550037928919,-0.030157881498638628,CN->SG
2019-04,CNY/SGD,0.20187081499708381,0.20204877457418222,0.014427611621188786,0.000587635297149669,-0.03352369451956505,CN->SG
2019-05,CNY/SGD,0.19991831215326752,0.1995968144348416,0.032799265688079636,-0.009672041220245231,-0.04849953990146305,CN->SG
2019-06,CNY/SGD,0.19747040253836404,0.19690465876422636,0.03296666478013789,-0.012244549228821011,-0.052517437307504466,CN->SG
2019-07,CNY/SGD,0.19790128518859576,0.19885855191202498,0.028267446133664647,0.0021820113024177967,-0.02490033522017132,CN->SG
2019-08,CNY/SGD,0.19609546170675485,0.19405041429763453,0.05700964017887667,-0.009124869907337851,-0.018812684706624228,CN->SG
2019-09,CNY/SGD,0.1938546188533851,0.19361459079556234,0.030837138750610952,-0.011427306036897233,-0.030746564465626403,CN->SG
2019-10,CNY/SGD,0.193128470267788,0.19319938176197834,0.0223313612441026,-0.0037458410322751545,-0.031140748826675724,CN->SG
2019-11,CNY/SGD,0.1939825176329031,0.1945903872348706,0.024895070350026947,0.004422172266631108,-0.020963775715177047,CN->SG
2019-12,CNY/SGD,0.1934147851582805,0.193221779959037,0.03021785505627343,-0.0029267197969715664,-0.02771230761517207,CN->SG
2020-01,CNY/SGD,0.19527590140569923,0.19685814402141819,0.03487425992458458,0.009622409403167831,-0.022734405809346714,CN->SG
2020-02,CNY/SGD,0.19864885957969505,0.1998001998001998,0.05863357935192696,0.017272782507802953,-0.011152750271000822,CN->SG
2020-03,CNY/SGD,0.20177211135797887,0.20098078623683577,0.07708136335036667,0.01572247525051007,9.840340472067055e-05,CN->SG
2020-04,CNY/SGD,0.2013323000286634,0.19988406724100022,0.0484204383580801,-0.002179742910729532,-0.0026676217086070153,CN->SG
2020-05,CNY/SGD,0.1995453439079799,0.19774569903104605,0.0393028995755761,-0.008875655423541517,-0.001865603211984368,CN->SG
2020-06,CNY/SGD,0.19672949071250675,0.19752696243037177,0.028234527355360577,-0.014111345022270627,-0.0037520145618447076,CN->SG
2020-07,CNY/SGD,0.19796989977837817,0.1965833808409837,0.029949741176551286,0.00630515059729464,0.00034671118844431525,CN->SG
2020-08,CNY/SGD,0.19761885026389328,0.19868865487780646,0.02188441957410452,-0.0017732469172226928,0.007768606901349617,CN->SG
2020-09,CNY/SGD,0.2004711793106608,0.2011424893394481,0.02724298554045599,0.014433486699060527,0.03413155949758373,CN->SG
2020-10,CNY/SGD,0.20207088801288373,0.20409829373826432,0.05306941342130691,0.007979744059588345,0.0463029491855671,CN->SG
2020-11,CNY/SGD,0.20401623992425288,0.2034174125305126,0.028951127599804727,0.009627076569511228,0.05172487919936075,CN->SG
2020-12,CNY/SGD,0.2037469870792682,0.20215497200153637,0.036185591036889495,-0.001319761824277621,0.053419917782047355,CN->SG
2021-01,CNY/SGD,0.20500162887832385,0.20655609030632266,0.035937499722063955,0.006157842219122189,0.04980505737069296,CN->SG
2021-02,CNY/SGD,0.20554572858108539,0.2054738226349963,0.04183528135764206,0.002654123802521058,0.03471889552239493,CN->SG
2021-03,CNY/SGD,0.20621960918430945,0.20527979636244198,0.024528718514442806,0.003278494804421328,0.022042183116377068,CN->SG
2021-04,CNY/SGD,0.20467232784160122,0.20535145902211635,0.020148330393264878,-0.0075030757202403375,0.016589627260316986,CN->SG
2021-05,CNY/SGD,0.20679561321651704,0.20753346477119433,0.02537751512435104,0.010374071557729403,0.0363339437871355,CN->SG
2021-06,CNY/SGD,0.20754490756454833,0.20817720043300855,0.024735178757826774,0.0036233570740533683,0.05497608321391345,CN->SG
2021-07,CNY/SGD,0.20929785527488887,0.20940215684221547,0.03363766541538558,0.008446112848109033,0.057220595197512436,CN->SG
2021-08,CNY/SGD,0.20918256578720007,0.2079002079002079,0.01820060082360582,-0.0005508393171892445,0.058515245422514184,CN->SG
2021-09,CNY/SGD,0.2087249391818089,0.21056177882590751,0.022450390834248917,-0.00218768999065011,0.04117180284731914,CN->SG
2021-10,CNY/SGD,0.21037353359535776,0.2104509964854684,0.025978064621139045,0.00789840648660034,0.04108778688568271,CN->SG
2021-11,CNY/SGD,0.2123822665880513,0.21439444289604015,0.025359326129460888,0.009548411144517877,0.041006670189120964,CN->SG
2021-12,CNY/SGD,0.21395936477511393,0.21236382169933532,0.029476204731062692,0.00742575268829615,0.05012284030424752,CN->SG
2022-01,CNY/SGD,0.21253051210114018,0.21292905203986034,0.028303768300171925,-0.006678149729391736,0.03672596780821191,CN->SG
2022-02,CNY/SGD,0.21227557500205263,0.21510002151000215,0.03491860885586295,-0.0011995317593090915,0.03274135866225203,CN->SG
2022-03,CNY/SGD,0.214144470052653,0.21345628415300547,0.027473572512103868,0.008804098401722804,0.03842923037091328,CN->SG
2022-04,CNY/SGD,0.21228077629792805,0.20945917640651834,0.05948701197613267,-0.008702973998192531,0.03717380134658521,CN->SG
2022-05,CNY/SGD,0.20643566571615102,0.20569359881520485,0.047833810195742836,-0.027534808774081543,-0.001740595435112846,CN->SG
2022-06,CNY/SGD,0.2067470751279326,0.20801697418509352,0.034396060363141384,0.0015085058616266522,-0.003844143640901354,CN->SG
2022-07,CNY/SGD,0.20735014028082366,0.2050524934383202,0.031847847549757856,0.002916922295117752,-0.0093059481737503,CN->SG
2022-08,CNY/SGD,0.20346645602872343,0.2026055068176753,0.03474582554726326,-0.01873007776527369,-0.02732593768971936,CN->SG
2022-09,CNY/SGD,0.20139657702285446,0.20183671409829446,0.03935556024118172,-0.01017307248707744,-0.0351101415464834,CN->SG
2022-10,CNY/SGD,0.1981282251418525,0.1939487975174554,0.053283241555,-0.016228438086269392,-0.05820745720352094,CN->SG
2022-11,CNY/SGD,0.19331017588463173,0.19309119697233004,0.06613449820407334,-0.02431783383599795,-0.08980076825535,CN->SG
2022-12,CNY/SGD,0.19378465157546748,0.1943407960199005,0.04756915657077705,0.0024544786049902623,-0.09429226536006718,CN->SG
2023-01,CNY/SGD,0.1952032653100818,0.19492417449612098,0.043167020179739626,0.00732056807946857,-0.08152827855048217,CN->SG
2023-02,CNY/SGD,0.19471964924959945,0.1943181376549687,0.028078894200137938,-0.002477499849780296,-0.08270346577689602,CN->SG
2023-03,CNY/SGD,0.1944898549158151,0.19346476039389426,0.049551728207586236,-0.001180129148084963,-0.091782034492907,CN->SG
2023-04,CNY/SGD,0.1933366882542103,0.19319938176197834,0.03166074283965049,-0.005929186702843481,-0.08924071399253997,CN->SG
2023-05,CNY/SGD,0.19164864380246585,0.19054151899698946,0.029914398136976963,-0.008731112894232007,-0.07163017040871855,CN->SG
2023-06,CNY/SGD,0.1879853480306264,0.18652192565236045,0.04393095860521522,-0.019114644899941302,-0.09074724315058236,CN->SG
2023-07,CNY/SGD,0.18562567662791646,0.18602228546979926,0.04459224188413504,-0.012552421917082057,-0.10477187825137124,CN->SG
2023-08,CNY/SGD,0.18629922906796698,0.1854393057152394,0.026742956763972328,0.0036285521070484883,-0.08437374541154319,CN->SG
2023-09,CNY/SGD,0.186780816133723,0.18671695576675318,0.03162743471426261,0.002585019101610575,-0.07257204221238012,CN->SG
2023-10,CNY/SGD,0.18733639588224452,0.1869718046518585,0.04182580392693626,0.002974501129300977,-0.05446891401707876,CN->SG
2023-11,CNY/SGD,0.18665422138080257,0.18718529472324655,0.03427656427672966,-0.003641441366635134,-0.03443147508076072,CN->SG
2023-12,CNY/SGD,0.18663327725988557,0.18585287886109356,0.03229101531424376,-0.0001122081288172927,-0.03690371893460753,CN->SG
2024-01,CNY/SGD,0.18629889430097502,0.1866193897545955,0.019530754107076383,-0.0017916577569654368,-0.04561589169608482,CN->SG
2024-02,CNY/SGD,0.1869078967186723,0.18706274084327884,0.031664241496796856,0.00326895347383771,-0.04011794680727743,CN->SG
2024-03,CNY/SGD,0.1861255767244943,0.18666816001194678,0.03057911116050374,-0.004185590913558412,-0.04300624418143184,CN->SG
2024-04,CNY/SGD,0.18741041963136562,0.18803354518446092,0.03286393872656746,0.006903096981524248,-0.030652581650992605,CN->SG
2024-05,CNY/SGD,0.18676121945815136,0.18660546007576181,0.029398760312584732,-0.003464055917975273,-0.02550200328759966,CN->SG
2024-06,CNY/SGD,0.18637806178066385,0.18666816001194678,0.028166469462714765,-0.002051591216844506,-0.008550061304249512,CN->SG
2024-07,CNY/SGD,0.18542603102083702,0.18532246108228317,0.03250789239359402,-0.0051080623477414155,-0.0010755279695471298,CN->SG
2024-08,CNY/SGD,0.18401499342331898,0.18376272556874565,0.03179840386211423,-0.007609706090076829,-0.012261111632483668,CN->SG
2024-09,CNY/SGD,0.1831350007368353,0.18267509407767346,0.024733313695685672,-0.0047821792676386865,-0.0195192176174962,CN->SG
2024-10,CNY/SGD,0.18483197783804428,0.18566309574645848,0.03858346567040788,0.009266263108533401,-0.013368561044456384,CN->SG
2024-11,CNY/SGD,0.18541183367703257,0.18512347735939874,0.03822387632961167,0.0031372051837068593,-0.006656092182535489,CN->SG
2024-12,CNY/SGD,0.18538271045074023,0.18677973066362838,0.03632029966086953,-0.00015707317982227575,-0.006700663608901536,CN->SG
2025-01,CNY/SGD,0.18650394785039978,0.18697530056279565,0.05322949447202751,0.0060482306949412035,0.0011006697071078708,CN->SG
2025-02,CNY/SGD,0.18512068142446245,0.1852297775390372,0.05185483231023905,-0.007416821155158071,-0.009562010624408868,CN->SG
2025-03,CNY/SGD,0.18430597640572466,0.1850926388657523,0.029312176219422094,-0.004400940037973089,-0.009776197075069604,CN->SG
2025-04,CNY/SGD,0.18149188845730177,0.17981407224929422,0.0620562922890869,-0.015268565910353638,-0.03158058759862736,CN->SG
2025-05,CNY/SGD,0.17934723161190771,0.17937863241730645,0.07034170408249159,-0.011816819272882362,-0.03969768385403449,CN->SG
2025-06,CNY/SGD,0.17874440270212477,0.1779327769968506,0.048426964412924205,-0.003361239001934635,-0.04095792715948854,CN->SG
2025-07,CNY/SGD,0.17862336583325483,0.18026787806680727,0.02550731226735,-0.0006771505403256883,-0.036686678510730486,CN->SG
2025-08,CNY/SGD,0.17921394012284797,0.1802288906911778,0.025407124136612898,0.0033062544020385776,-0.02609055496595536,CN->SG
2025-09,CNY/SGD,0.18035871313361215,0.18117911367177592,0.022828020998855288,0.006387745339338391,-0.01515978699895093,CN->SG
2025-10,CNY/SGD,0.18203134344707314,0.18291233012017338,0.025061061136810975,0.009273909113677758,-0.015152326040817177,CN->SG
2025-11,CNY/SGD,0.1832973427588443,0.18339201877934272,0.019482235051370936,0.0069548424342604775,-0.011404293222575412,CN->SG
2025-12,CNY/SGD,0.18328892285035792,0.18362100624311423,0.024312250275003087,-4.593579131939585e-05,-0.011294406017106295,CN->SG
2026-01,CNY/SGD,0.18369203667398676,0.18242516007807796,0.03981533288628244,0.0021993354391522946,-0.0150769525729747,CN->SG
2026-02,CNY/SGD,0.18339073925293478,0.18455632659087554,0.03153947835943564,-0.0016402312615582115,-0.009344942759588748,CN->SG
2026-03,CNY/SGD,0.1855667656735052,0.186675129272527,0.03216567990245691,0.011865519651835799,0.006840740014881996,CN->SG
2026-04,CNY/SGD,0.1866469986306156,0.18688444934497,0.02686291492395551,0.005821263054242243,0.02840408029875463,CN->SG
2026-05,CNY/SGD,0.18765875657260692,0.18872197478674416,0.02383015060876004,0.005420702981641101,0.04634320187715324,CN->SG
2026-06,CNY/SGD,0.19006767181721776,0.1908324109766803,0.022396500046138714,0.012836679132949502,0.0633489437650423,CN->SG
2026-07,CNY/SGD,0.19059312945699475,0.19031668696711326,0.017231030418659733,0.0027645818710417824,0.06701118617882118,CN->SG
2026-08,CNY/SGD,0.18983860546574838,0.1897173211914248,0.01958786335391926,-0.003958820516752226,0.05928481531970897,CN->SG
2014-12,SGD/JPY,90.44,90.44,,,,SG->JP
2015-01,SGD/JPY,88.41714285714286,87.03,0.09117255549895834,-0.022366841473431376,,SG->JP
2015-02,SGD/JPY,87.563,87.68,0.04882949108003479,-0.009660376139080995,,SG->JP
2015-03,SGD/JPY,87.44363636363636,87.28,0.035090482380338656,-0.0013631743586177691,,SG->JP
2015-04,SGD/JPY,88.6825,89.95,0.05463121028952391,0.014167567679960191,,SG->JP
2015-05,SGD/JPY,90.55,91.86,0.0692461222060593,0.021058269669889773,,SG->JP
2015-06,SGD/JPY,91.93454545454546,90.93,0.047044670435783455,0.015290397068420392,,SG->JP
2015-07,SGD/JPY,90.62695652173913,90.4,0.06726745642253462,-0.014223042343237902,,SG->JP
2015-08,SGD/JPY,88.08952380952381,85.89,0.13318261631226136,-0.02799865304542859,,SG->JP
2015-09,SGD/JPY,84.92863636363637,84.6,0.12100336358480669,-0.03588267150498203,,SG->JP
2015-10,SGD/JPY,85.72318181818183,86.03,0.09327294532567187,0.009355448157008839,,SG->JP
2015-11,SGD/JPY,86.6895238095238,87.16,0.044344005190235736,0.011272819916922527,,SG->JP
2015-12,SGD/JPY,86.39636363636363,85.02,0.065771233714312,-0.0033817254989693124,-0.044710707249406956,SG->JP
2016-01,SGD/JPY,82.47,85.05,0.15304335688862955,-0.045445936276779286,-0.06726232792606479,SG->JP
2016-02,SGD/JPY,81.651,80.35,0.13927676104164935,-0.009930883957802839,-0.06751710197229432,SG->JP
2016-03,SGD/JPY,82.23428571428572,83.57,0.09100530146228612,0.007143644465906318,-0.05957381081097124,SG->JP
2016-04,SGD/JPY,81.19166666666668,79.903,0.1508710914105395,-0.012678641743682273,-0.08446799913549263,SG->JP
2016-05,SGD/JPY,79.52627272727273,80.58,0.08153717352776585,-0.020511882657012648,-0.12174188042768941,SG->JP
2016-06,SGD/JPY,77.89113636363636,76.252,0.1871713043116113,-0.02056095812818859,-0.15275443002926992,SG->JP
2016-07,SGD/JPY,77.09828571428572,76.477,0.15047426935780842,-0.010178958561462004,-0.14927866196420514,SG->JP
2016-08,SGD/JPY,75.13230434782609,75.759,0.07919433510493129,-0.025499676785878944,-0.1470914917160313,SG->JP
2016-09,SGD/JPY,74.9455,74.23,0.07592516098012794,-0.0024863385922689885,-0.1175473525901427,SG->JP
2016-10,SGD/JPY,75.03180952380951,75.385,0.05582299306116548,0.0011516305022918338,-0.12471973237121114,SG->JP
2016-11,SGD/JPY,76.77781818181819,79.373,0.10888258944150006,0.023270245900901765,-0.114335679700858,SG->JP
2016-12,SGD/JPY,80.86061904761905,81.0,0.09112602581329035,0.05317682844454308,-0.06407381463465467,SG->JP
2017-01,SGD/JPY,80.48759090909091,80.22,0.06593769352250187,-0.004613223877354522,-0.02403794217180899,SG->JP
2017-02,SGD/JPY,79.82185,80.12,0.062962006069224,-0.008271348434852,-0.022402052638669456,SG->JP
2017-03,SGD/JPY,80.38326086956522,80.02,0.07198158206947693,0.0070332981453726795,-0.022509161825174595,SG->JP
2017-04,SGD/JPY,78.88316666666667,79.801,0.08525019649458565,-0.018661773442267937,-0.028432720927845767,SG->JP
2017-05,SGD/JPY,80.45831818181819,80.16,0.09147537930084418,0.019968157741531378,0.011719969043963774,SG->JP
2017-06,SGD/JPY,80.16231818181818,81.32,0.07579121652101121,-0.0036789235307045365,0.029158411652627114,SG->JP
2017-07,SGD/JPY,82.00238095238095,81.48,0.052872999195860367,0.02295421105948159,0.06360835643309937,SG->JP
2017-08,SGD/JPY,80.715,81.28,0.07194121417110118,-0.015699311866670396,0.0743048639414643,SG->JP
2017-09,SGD/JPY,82.02380952380952,82.85,0.07269197178141554,0.016215195735730825,0.09444609114369129,SG->JP
2017-10,SGD/JPY,83.02045454545454,83.23,0.033737742036269044,0.012150679509170148,0.106470110108567,SG->JP
2017-11,SGD/JPY,83.2090909090909,83.25,0.04833589611861066,0.0022721673191163916,0.08376472371281452,SG->JP
2017-12,SGD/JPY,83.84947368421052,84.25,0.04555991691381614,0.007696067438343501,0.03696304420859464,SG->JP
2018-01,SGD/JPY,83.89590909090909,83.25,0.0642938645895237,0.0005537948499647616,0.04234588392225325,SG->JP
2018-02,SGD/JPY,81.8,80.88,0.05654687418205802,-0.02498225615074956,0.024782061553321633,SG->JP
2018-03,SGD/JPY,80.66638095238095,81.17,0.07739563727223094,-0.013858423565025091,0.003522127365237493,SG->JP
2018-04,SGD/JPY,81.803,82.49,0.0458903797818497,0.014090368678991716,0.03701465669692938,SG->JP
2018-05,SGD/JPY,81.905,81.33,0.07161703097429085,0.0012468980355244685,0.01798051277821422,SG->JP
2018-06,SGD/JPY,81.6752380952381,81.18,0.0822417648394423,-0.00280522440341735,0.018873205612497834,SG->JP
2018-07,SGD/JPY,81.74772727272727,81.9,0.05663519420351203,0.000887529429723255,-0.0031054425090601967,SG->JP
2018-08,SGD/JPY,81.10130434782609,80.83,0.06411013314893854,-0.007907533902986486,0.00478602921174609,SG->JP
2018-09,SGD/JPY,81.65599999999999,82.85,0.03806740744388908,0.006839540456648363,-0.004484179970972502,SG->JP
