series,month,value
Americas,2009-06,39140
Americas,2009-07,45315
Americas,2009-08,40065
Americas,2009-09,30958
Americas,2009-10,41428
Americas,2009-11,43839
Americas,2009-12,42170
Americas,2010-01,44900
Americas,2010-02,39669
Americas,2010-03,46657
Americas,2010-04,43034
Americas,2010-05,40131
Americas,2010-06,46349
Americas,2010-07,50467
Americas,2010-08,44148
Americas,2010-09,34775
Americas,2010-10,45972
Americas,2010-11,43978
Americas,2010-12,44765
Americas,2011-01,49308
Americas,2011-02,43634
Americas,2011-03,56454
Americas,2011-04,45449
Americas,2011-05,43167
Americas,2011-06,47880
Americas,2011-07,53651
Americas,2011-08,43227
Americas,2011-09,37354
Americas,2011-10,47929
Americas,2011-11,48158
Americas,2011-12,47529
Americas,2012-01,51653
Americas,2012-02,54048
Americas,2012-03,60074
Americas,2012-04,47323
Americas,2012-05,46711
Americas,2012-06,52552
Americas,2012-07,55947
Americas,2012-08,46622
Americas,2012-09,41010
Americas,2012-10,50635
Americas,2012-11,52501
Americas,2012-12,57292
Americas,2013-01,61382
Americas,2013-02,54112
Americas,2013-03,62006
Americas,2013-04,52338
Americas,2013-05,47760
Americas,2013-06,56119
Americas,2013-07,56981
Americas,2013-08,49860
Americas,2013-09,43109
Americas,2013-10,50079
Americas,2013-11,51911
Americas,2013-12,55788
Americas,2014-01,60370
Americas,2014-02,58987
Americas,2014-03,66875
Americas,2014-04,48811
Americas,2014-05,46359
Americas,2014-06,50633
Americas,2014-07,54556
Americas,2014-08,47977
Americas,2014-09,42437
Americas,2014-10,47969
Americas,2014-11,52340
Americas,2014-12,57955
Americas,2015-01,64780
Americas,2015-02,57924
Americas,2015-03,64764
Americas,2015-04,49143
Americas,2015-05,48014
Americas,2015-06,55325
Americas,2015-07,56521
Americas,2015-08,49942
Americas,2015-09,42354
Americas,2015-10,52973
Americas,2015-11,55155
Americas,2015-12,60391
Americas,2016-01,66988
Americas,2016-02,58800
Americas,2016-03,63521
Americas,2016-04,52570
Americas,2016-05,50578
Americas,2016-06,56233
Americas,2016-07,59258
Americas,2016-08,48661
Americas,2016-09,42901
Americas,2016-10,53083
Americas,2016-11,60401
Americas,2016-12,67650
Americas,2017-01,72376
Americas,2017-02,68575
Americas,2017-03,72468
Americas,2017-04,55814
Americas,2017-05,54290
Americas,2017-06,64461
Americas,2017-07,66833
Americas,2017-08,53414
Americas,2017-09,48313
Americas,2017-10,54388
Americas,2017-11,74042
Americas,2017-12,73679
Americas,2018-01,81781
Americas,2018-02,76079
Americas,2018-03,85412
Americas,2018-04,69578
Americas,2018-05,62094
Americas,2018-06,70116
Americas,2018-07,76827
Americas,2018-08,60752
Americas,2018-09,56056
Americas,2018-10,62266
Americas,2018-11,75548
Americas,2018-12,85208
Americas,2019-01,92393
Americas,2019-02,77043
Americas,2019-03,91115
Americas,2019-04,75440
Americas,2019-05,69238
Americas,2019-06,81305
Americas,2019-07,88663
Americas,2019-08,71328
Americas,2019-09,64342
Americas,2019-10,68654
Americas,2019-11,82972
Americas,2019-12,100218
Americas,2020-01,98790
Americas,2020-02,53615
Americas,2020-03,15567
Americas,2020-04,13
Americas,2020-05,38
Americas,2020-06,153
Americas,2020-07,443
Americas,2020-08,506
Americas,2020-09,443
Americas,2020-10,506
Americas,2020-11,522
Americas,2020-12,656
Americas,2021-01,669
Americas,2021-02,523
Americas,2021-03,582
Americas,2021-04,684
Americas,2021-05,342
Americas,2021-06,245
Americas,2021-07,777
Americas,2021-08,1001
Americas,2021-09,867
Americas,2021-10,1092
Americas,2021-11,2231
Americas,2021-12,4590
Americas,2022-01,2928
Americas,2022-02,4442
Americas,2022-03,6521
Americas,2022-04,14729
Americas,2022-05,25106
Americas,2022-06,36723
Americas,2022-07,47365
Americas,2022-08,44100
Americas,2022-09,46342
Americas,2022-10,49922
Americas,2022-11,61086
Americas,2022-12,67342
Americas,2023-01,67902
Americas,2023-02,72702
Americas,2023-03,73624
Americas,2023-04,61029
Americas,2023-05,70426
Americas,2023-06,70361
Americas,2023-07,81637
Americas,2023-08,62996
Americas,2023-09,62765
Americas,2023-10,60726
Americas,2023-11,80020
Americas,2023-12,83791
Americas,2024-01,84243
Americas,2024-02,81002
Americas,2024-03,85431
Americas,2024-04,69011
Americas,2024-05,73351
Americas,2024-06,75896
Americas,2024-07,82686
Americas,2024-08,67753
Americas,2024-09,64689
Americas,2024-10,69879
Americas,2024-11,86005
Americas,2024-12,84452
Americas,2025-01,97422
Americas,2025-02,89921
Americas,2025-03,94760
Americas,2025-04,74503
Americas,2025-05,65892
Americas,2025-06,76490
Americas,2025-07,86787
Americas,2025-08,67200
Americas,2025-09,60482
Americas,2025-10,70841
Americas,2025-11,87800
Americas,2025-12,94875
Americas,2026-01,99750
Australia,2008-01,82778
Australia,2008-02,52457
Australia,2008-03,61681
Australia,2008-04,63079
Australia,2008-05,65901
Australia,2008-06,73802
Australia,2008-07,79776
Australia,2008-08,65465
Australia,2008-09,72816
Australia,2008-10,75866
Australia,2008-11,60257
Australia,2008-12,79278
Australia,2009-01,80008
Australia,2009-02,51144
Australia,2009-03,54821
Australia,2009-04,65046
Australia,2009-05,59136
Australia,2009-06,65796
Australia,2009-07,79439
Australia,2009-08,67152
Australia,2009-09,73407
Australia,2009-10,81622
Australia,2009-11,68570
Australia,2009-12,84158
Australia,2010-01,89584
Australia,2010-02,55364
Australia,2010-03,63659
Australia,2010-04,70079
Australia,2010-05,63517
Australia,2010-06,74597
Australia,2010-07,87289
Australia,2010-08,68222
Australia,2010-09,80293
Australia,2010-10,77097
Australia,2010-11,64152
Australia,2010-12,86705
Australia,2011-01,98023
Australia,2011-02,58135
Australia,2011-03,65885
Australia,2011-04,85297
Australia,2011-05,72365
Australia,2011-06,84371
Australia,2011-07,94690
Australia,2011-08,71953
Australia,2011-09,86076
Australia,2011-10,84509
Australia,2011-11,70012
Australia,2011-12,84723
Australia,2012-01,94946
Australia,2012-02,63878
Australia,2012-03,70960
Australia,2012-04,81927
Australia,2012-05,72641
Australia,2012-06,92951
Australia,2012-07,105570
Australia,2012-08,79292
Australia,2012-09,100891
Australia,2012-10,100138
Australia,2012-11,83972
Australia,2012-12,103207
Australia,2013-01,119592
Australia,2013-02,69470
Australia,2013-03,87652
Australia,2013-04,94285
Australia,2013-05,84444
Australia,2013-06,91231
Australia,2013-07,112743
Australia,2013-08,79221
Australia,2013-09,105179
Australia,2013-10,96454
Australia,2013-11,78324
Australia,2013-12,106584
Australia,2014-01,126119
Australia,2014-02,69119
Australia,2014-03,74578
Australia,2014-04,99811
Australia,2014-05,78280
Australia,2014-06,81558
Australia,2014-07,106641
Australia,2014-08,82448
Australia,2014-09,97642
Australia,2014-10,87565
Australia,2014-11,73262
Australia,2014-12,97855
Australia,2015-01,115584
Australia,2015-02,65009
Australia,2015-03,70708
Australia,2015-04,83497
Australia,2015-05,73965
Australia,2015-06,82755
Australia,2015-07,97583
Australia,2015-08,83063
Australia,2015-09,97071
Australia,2015-10,96340
Australia,2015-11,76369
Australia,2015-12,101624
Australia,2016-01,117073
Australia,2016-02,61900
Australia,2016-03,78701
Australia,2016-04,93320
Australia,2016-05,64175
Australia,2016-06,77805
Australia,2016-07,103689
Australia,2016-08,78888
Australia,2016-09,92210
Australia,2016-10,85395
Australia,2016-11,73308
Australia,2016-12,100849
Australia,2017-01,115930
Australia,2017-02,71416
Australia,2017-03,85040
Australia,2017-04,93927
Australia,2017-05,71970
Australia,2017-06,84840
Australia,2017-07,104873
Australia,2017-08,75171
Australia,2017-09,100987
Australia,2017-10,90940
Australia,2017-11,81822
Australia,2017-12,105085
Australia,2018-01,114846
Australia,2018-02,63229
Australia,2018-03,87152
Australia,2018-04,99046
Australia,2018-05,78210
Australia,2018-06,90665
Australia,2018-07,108107
Australia,2018-08,83185
Australia,2018-09,107933
Australia,2018-10,95096
Australia,2018-11,74827
Australia,2018-12,104928
Australia,2019-01,122672
Australia,2019-02,66199
Australia,2019-03,73841
Australia,2019-04,107503
Australia,2019-05,80476
Australia,2019-06,87793
Australia,2019-07,107383
Australia,2019-08,84023
Australia,2019-09,109506
Australia,2019-10,97092
Australia,2019-11,89052
Australia,2019-12,117796
Australia,2020-01,130626
Australia,2020-02,54791
Australia,2020-03,18736
Australia,2020-04,7
Australia,2020-05,16
Australia,2020-06,63
Australia,2020-07,131
Australia,2020-08,166
Australia,2020-09,155
Australia,2020-10,223
Australia,2020-11,438
Australia,2020-12,887
Australia,2021-01,579
Australia,2021-02,234
Australia,2021-03,274
Australia,2021-04,242
Australia,2021-05,250
Australia,2021-06,193
Australia,2021-07,289
Australia,2021-08,301
Australia,2021-09,278
Australia,2021-10,263
Australia,2021-11,1624
Australia,2021-12,5525
Australia,2022-01,3759
Australia,2022-02,4546
Australia,2022-03,7883
Australia,2022-04,27380
Australia,2022-05,31406
Australia,2022-06,50412
Australia,2022-07,68378
Australia,2022-08,56917
Australia,2022-09,83070
Australia,2022-10,73728
Australia,2022-11,69046
Australia,2022-12,89159
Australia,2023-01,102888
Australia,2023-02,72385
Australia,2023-03,74268
Australia,2023-04,92937
Australia,2023-05,79700
Australia,2023-06,90770
Australia,2023-07,98408
Australia,2023-08,80605
Australia,2023-09,104497
Australia,2023-10,88033
Australia,2023-11,88201
Australia,2023-12,112197
Australia,2024-01,124104
Australia,2024-02,79386
Australia,2024-03,90438
Australia,2024-04,96752
Australia,2024-05,79588
Australia,2024-06,88043
Australia,2024-07,105660
Australia,2024-08,82959
Australia,2024-09,110930
Australia,2024-10,100935
Australia,2024-11,92661
Australia,2024-12,122321
Australia,2025-01,141337
Australia,2025-02,85012
Australia,2025-03,81781
Australia,2025-04,116848
Australia,2025-05,90145
Australia,2025-06,90887
Australia,2025-07,121503
Australia,2025-08,84925
Australia,2025-09,107322
Australia,2025-10,116372
Australia,2025-11,103828
Australia,2025-12,127468
Australia,2026-01,140780
Bangladesh,2008-01,7252
Bangladesh,2008-02,6700
Bangladesh,2008-03,7986
Bangladesh,2008-04,7718
Bangladesh,2008-05,8495
Bangladesh,2008-06,8853
Bangladesh,2008-07,9581
Bangladesh,2008-08,8481
Bangladesh,2008-09,7914
Bangladesh,2008-10,8167
Bangladesh,2008-11,7379
Bangladesh,2008-12,7292
Bangladesh,2009-01,6209
Bangladesh,2009-02,6299
Bangladesh,2009-03,6699
Bangladesh,2009-04,6521
Bangladesh,2009-05,6427
Bangladesh,2009-06,7387
Bangladesh,2009-07,9521
Bangladesh,2009-08,7442
Bangladesh,2009-09,7105
Bangladesh,2009-10,8291
Bangladesh,2009-11,6735
Bangladesh,2009-12,8001
Bangladesh,2010-01,7762
Bangladesh,2010-02,5726
Bangladesh,2010-03,7747
Bangladesh,2010-04,7529
Bangladesh,2010-05,7704
Bangladesh,2010-06,8524
Bangladesh,2010-07,9373
Bangladesh,2010-08,7144
Bangladesh,2010-09,7942
Bangladesh,2010-10,7543
Bangladesh,2010-11,7439
Bangladesh,2010-12,7879
Bangladesh,2011-01,8228
Bangladesh,2011-02,6368
Bangladesh,2011-03,8133
Bangladesh,2011-04,7707
Bangladesh,2011-05,7830
Bangladesh,2011-06,7984
Bangladesh,2011-07,9038
Bangladesh,2011-08,7316
Bangladesh,2011-09,8866
Bangladesh,2011-10,8085
Bangladesh,2011-11,7610
Bangladesh,2011-12,8366
Bangladesh,2012-01,7250
Bangladesh,2012-02,7639
Bangladesh,2012-03,8951
Bangladesh,2012-04,9279
Bangladesh,2012-05,9231
Bangladesh,2012-06,9782
Bangladesh,2012-07,10330
Bangladesh,2012-08,9707
Bangladesh,2012-09,10030
Bangladesh,2012-10,9456
Bangladesh,2012-11,8922
Bangladesh,2012-12,10096
Bangladesh,2013-01,10584
Bangladesh,2013-02,7379
Bangladesh,2013-03,9617
Bangladesh,2013-04,9832
Bangladesh,2013-05,9611
Bangladesh,2013-06,10360
Bangladesh,2013-07,11364
Bangladesh,2013-08,10463
Bangladesh,2013-09,9589
Bangladesh,2013-10,9843
Bangladesh,2013-11,9899
Bangladesh,2013-12,10783
Bangladesh,2014-01,10428
Bangladesh,2014-02,9343
Bangladesh,2014-03,10721
Bangladesh,2014-04,9817
Bangladesh,2014-05,9853
Bangladesh,2014-06,11100
Bangladesh,2014-07,10108
Bangladesh,2014-08,11690
Bangladesh,2014-09,9486
Bangladesh,2014-10,10722
Bangladesh,2014-11,10027
Bangladesh,2014-12,11631
Bangladesh,2015-01,10923
Bangladesh,2015-02,7960
Bangladesh,2015-03,10186
Bangladesh,2015-04,9809
Bangladesh,2015-05,10447
Bangladesh,2015-06,9737
Bangladesh,2015-07,11793
Bangladesh,2015-08,10353
Bangladesh,2015-09,10159
Bangladesh,2015-10,10394
Bangladesh,2015-11,9272
Bangladesh,2015-12,11554
Bangladesh,2016-01,11151
Bangladesh,2016-02,8445
Bangladesh,2016-03,10845
Bangladesh,2016-04,10303
Bangladesh,2016-05,10700
Bangladesh,2016-06,8949
Bangladesh,2016-07,12303
Bangladesh,2016-08,9694
Bangladesh,2016-09,10081
Bangladesh,2016-10,10078
Bangladesh,2016-11,9830
Bangladesh,2016-12,10960
Bangladesh,2017-01,9712
Bangladesh,2017-02,8788
Bangladesh,2017-03,10218
Bangladesh,2017-04,8949
Bangladesh,2017-05,9548
Bangladesh,2017-06,9972
Bangladesh,2017-07,11416
Bangladesh,2017-08,9652
Bangladesh,2017-09,11277
Bangladesh,2017-10,9555
Bangladesh,2017-11,9023
Bangladesh,2017-12,12479
Bangladesh,2018-01,11716
Bangladesh,2018-02,9397
Bangladesh,2018-03,11243
Bangladesh,2018-04,10084
Bangladesh,2018-05,9341
Bangladesh,2018-06,11161
Bangladesh,2018-07,10784
Bangladesh,2018-08,11010
Bangladesh,2018-09,10074
Bangladesh,2018-10,11206
Bangladesh,2018-11,9001
Bangladesh,2018-12,11297
Bangladesh,2019-01,9960
Bangladesh,2019-02,9321
Bangladesh,2019-03,10894
Bangladesh,2019-04,11091
Bangladesh,2019-05,9595
Bangladesh,2019-06,13393
Bangladesh,2019-07,12564
Bangladesh,2019-08,11808
Bangladesh,2019-09,10698
Bangladesh,2019-10,12810
Bangladesh,2019-11,11040
Bangladesh,2019-12,13812
Bangladesh,2020-01,11631
Bangladesh,2020-02,6054
Bangladesh,2020-03,3738
Bangladesh,2020-04,4
Bangladesh,2020-05,1
Bangladesh,2020-06,11
Bangladesh,2020-07,3
Bangladesh,2020-08,35
Bangladesh,2020-09,36
Bangladesh,2020-10,52
Bangladesh,2020-11,65
Bangladesh,2020-12,267
Bangladesh,2021-01,1027
Bangladesh,2021-02,1203
Bangladesh,2021-03,2736
Bangladesh,2021-04,1700
Bangladesh,2021-05,32
Bangladesh,2021-06,3
Bangladesh,2021-07,1
Bangladesh,2021-08,2
Bangladesh,2021-09,385
Bangladesh,2021-10,1079
Bangladesh,2021-11,4170
Bangladesh,2021-12,5559
Bangladesh,2022-01,4893
Bangladesh,2022-02,3361
